body,phase,phase_timesteps,lineage_timesteps,mean_return,std_return,min_return,max_return,mean_steps,mean_displacement,mean_speed,mean_final_x,mean_max_x,mean_obstacles_cleared,mean_obstacle_fraction,success_rate
Original body (4 actuators),movable_training_v5_rechecked,155000,155000,0.6135074859524603,0.0,0.6135074859524603,0.6135074859524603,1200.0,0.46020980812460793,0.0003835081734371733,0.9102098081246079,1.062305739183461,0.0,0.0,0.0
Original body (4 actuators),movable_training_v5_rechecked,160000,160000,8.002299530184901,0.0,8.002299530184901,8.002299530184901,1200.0,2.8734359798151314,0.002394529983179276,3.3234359798151316,3.3234359798151316,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,165000,165000,7.870222904706871,0.0,7.870222904706871,7.870222904706871,1200.0,3.000224287231756,0.0025001869060264632,3.450224287231756,3.4739195790005177,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,170000,170000,7.863591579447916,0.0,7.863591579447916,7.863591579447916,1200.0,2.90788116963914,0.0024232343080326166,3.35788116963914,3.3676212931380034,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,175000,175000,8.669397000934637,0.0,8.669397000934637,8.669397000934637,1200.0,3.2415849680794224,0.002701320806732852,3.6915849680794226,3.6915849680794226,2.0,0.2857142857142857,0.0
Original body (4 actuators),movable_training_v5_rechecked,180000,180000,10.709471646676384,0.0,10.709471646676384,10.709471646676384,1200.0,3.546437733896743,0.002955364778247286,3.996437733896743,4.017283948593097,3.0,0.42857142857142855,0.0
Original body (4 actuators),com_clearance_finetune_v6,5000,185000,8.32841717400858,0.0,8.32841717400858,8.32841717400858,1200.0,3.116243105785142,0.0025968692548209516,3.566243105785142,3.5748827241426766,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,10000,190000,7.47299751608359,8.881784197001252e-16,7.4729975160835895,7.4729975160835895,1200.0,2.655309551763754,0.0022127579598031286,3.1053095517637543,3.1053095517637543,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,15000,195000,8.411622540522814,0.0,8.411622540522814,8.411622540522814,1200.0,3.1337685605413808,0.0026114738004511507,3.583768560541381,3.5918105370047626,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,20000,200000,8.616579121629464,0.0,8.616579121629464,8.616579121629464,1200.0,3.29635834440973,0.0027469652870081083,3.7463583444097304,3.7463583444097304,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,25000,205000,10.73781411198978,0.0,10.73781411198978,10.73781411198978,1200.0,3.4088601901188658,0.0028407168250990547,3.858860190118866,3.858860190118866,3.0,0.42857142857142855,0.0
Original body (4 actuators),com_clearance_finetune_v6,30000,210000,8.397776909481136,0.0,8.397776909481136,8.397776909481136,1200.0,3.219466503059666,0.0026828887525497222,3.6694665030596667,3.7178609607818474,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,35000,215000,4.985860102572299,0.0,4.985860102572299,4.985860102572299,1200.0,2.050465552845523,0.001708721294037936,2.5004655528455233,2.510460309813426,1.0,0.14285714285714285,0.0
Original body (4 actuators),com_clearance_finetune_v6,40000,220000,8.204794602957929,0.0,8.204794602957929,8.204794602957929,1200.0,3.095011853179479,0.0025791765443162326,3.545011853179479,3.545011853179479,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,45000,225000,7.959881936783379,0.0,7.959881936783379,7.959881936783379,1200.0,2.9199635040330434,0.002433302920027536,3.3699635040330436,3.3699635040330436,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,50000,230000,7.833613321670943,8.881784197001252e-16,7.833613321670944,7.833613321670944,1200.0,2.766991250860291,0.002305826042383576,3.2169912508602914,3.2169912508602914,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,55000,235000,7.835565389707646,0.0,7.835565389707646,7.835565389707646,1200.0,2.7702244313050364,0.002308520359420864,3.2202244313050365,3.22216208169484,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,60000,240000,4.844824640414068,0.0,4.844824640414068,4.844824640414068,1200.0,2.1399637881357982,0.001783303156779832,2.5899637881357984,2.5906206380255465,1.0,0.14285714285714285,0.0
Original body (4 actuators),com_clearance_finetune_v6,65000,245000,8.493798873042715,0.0,8.493798873042715,8.493798873042715,1200.0,3.3011200384438464,0.002750933365369872,3.751120038443846,3.751120038443846,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,70000,250000,7.957180978916436,0.0,7.957180978916436,7.957180978916436,1200.0,2.9406962619551966,0.002450580218295997,3.390696261955197,3.3925914452912083,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,75000,255000,4.664554825669402,0.0,4.664554825669402,4.664554825669402,1200.0,2.0078341252212346,0.001673195104351029,2.457834125221235,2.458344105095835,1.0,0.14285714285714285,0.0
Original body (4 actuators),com_clearance_finetune_v6,80000,260000,8.207172770241062,0.0,8.207172770241062,8.207172770241062,1200.0,3.136864037741096,0.0026140533647842474,3.5868640377410963,3.5868640377410963,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,85000,265000,8.132335680506976,0.0,8.132335680506976,8.132335680506976,1200.0,2.9965252077820175,0.002497104339818348,3.446525207782018,3.446525207782018,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,90000,270000,8.165320617317136,0.0,8.165320617317136,8.165320617317136,1200.0,3.1241281253991975,0.0026034401044993313,3.574128125399197,3.574128125399197,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,95000,275000,8.260113431982074,0.0,8.260113431982074,8.260113431982074,1200.0,3.05076855680108,0.002542307130667567,3.5007685568010807,3.5007685568010807,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,100000,280000,8.153264286118393,0.0,8.153264286118393,8.153264286118393,1200.0,2.966091964171742,0.0024717433034764516,3.4160919641717427,3.4160919641717427,2.0,0.2857142857142857,0.0
Original body (4 actuators),com_clearance_finetune_v6,100352,280352,8.273203130944802,0.0,8.273203130944802,8.273203130944802,1200.0,2.8335443544754164,0.0023612869620628476,3.283544354475417,3.283544354475417,2.0,0.2857142857142857,0.0
